GRANDE_AREA_DO_CONHECIMENTO_1;AREA_DO_CONHECIMENTO_1;SUB_AREA_DO_CONHECIMENTO_1;ESPECIALIDADE_DO_CONHECIMENTO_1;GRANDE_AREA_DO_CONHECIMENTO_2;AREA_DO_CONHECIMENTO_2;SUB_AREA_DO_CONHECIMENTO_2;ESPECIALIDADE_DO_CONHECIMENTO_2;GRANDE_AREA_DO_CONHECIMENTO_3;AREA_DO_CONHECIMENTO_3;SUB_AREA_DO_CONHECIMENTO_3;ESPECIALIDADE_DO_CONHECIMENTO_3
CIENCIAS_AGRARIAS;Agronomia;;;CIENCIAS_AGRARIAS;Agronomia;Fitossanidade;;CIENCIAS_AGRARIAS;Agronomia;Fitossanidade;Fitopatologia
CIENCIAS_SOCIAIS_APLICADAS;Administração;Ciências Contábeis;;;;;;;;;
CIENCIAS_SOCIAIS_APLICADAS;Administração;Administração Pública;;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Física;Física da Matéria Condensada;;CIENCIAS_EXATAS_E_DA_TERRA;Química;Físico-Química;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Física;Física da Matéria Condensada;;CIENCIAS_EXATAS_E_DA_TERRA;Química;Físico-Química;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Físico-Química;;CIENCIAS_EXATAS_E_DA_TERRA;Física;Física da Matéria Condensada;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Física;Física da Matéria Condensada;;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Físico-Química;;CIENCIAS_EXATAS_E_DA_TERRA;Física;Física da Matéria Condensada;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Físico-Química;;CIENCIAS_EXATAS_E_DA_TERRA;Física;Física da Matéria Condensada;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Físico-Química;;CIENCIAS_EXATAS_E_DA_TERRA;Física;Física da Matéria Condensada;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Físico-Química;;CIENCIAS_EXATAS_E_DA_TERRA;Física;Física da Matéria Condensada;;;;;
